f4ef3c7b-b146-4991-a2ea-fddfdc610ef1.stl, Cylinder
eb2dea7a-c259-4d65-a4c3-eaa19c9e1509.stl, Torus
796c78f5-4ba8-41c4-b360-a5ae46e60347.stl, Cone
13a3c9ae-7313-44ce-af91-ff76fdab3695.stl, Cone
7c05d316-a210-40ae-a5c1-16ca047d7e2e.stl, Torus.001
d1f9d36d-ac8c-416a-b706-541391cbd23d.stl, Torus.002
d11b96fa-1a04-4982-b34d-e0712f25c8c1.stl, Torus.003
7d946db9-05b3-4940-a007-0d5bd6663fdc.stl, Torus.004
a64fec22-3463-4e7d-b0eb-d51f54113b88.stl, Cone
54709c40-3959-4e14-a395-727226bd0ec1.stl, Sphere
38478737-d372-4a18-810b-486f64ff983e.stl, Torus.005
5d90e4d0-7d3c-476b-9a18-381d632aafde.stl, Sphere
6858a3dc-7b58-464d-9873-c0e6c029570a.stl, Torus.006
0b62fefd-0963-45a5-93c1-6cd3a32f9520.stl, Sphere
956b972f-4d4e-4507-a868-72d7bc681593.stl, Cone
753f957b-ae9a-499e-81cd-b69485f3f613.stl, Torus.007
48132e9d-203e-4d57-b872-1155e963f8ce.stl, Cube.001
eccb3321-ebcc-4bbf-a85c-4c18a8a6511a.stl, Cylinder
69df71f8-4e67-4b90-b562-0690a59c3370.stl, Cube.001
7e6626a6-709e-4425-8d66-e0699e384474.stl, Torus.008
57f3a9e5-0b50-4142-9914-9699971e7f40.stl, Cube.001
e7ad6c35-1418-451c-a7a2-43f21587da7b.stl, Cone
15a4787b-489a-4f2d-ac04-65575a2f7a76.stl, Sphere
6e909f6a-4f85-40eb-a0a8-6513584c7e8a.stl, Torus.009
d09c4d3a-914e-443c-8fdc-736dc90a0326.stl, Cube.001
fcd6e2f7-2877-4d90-a602-f678d119d644.stl, Cylinder
2c760c4b-6804-4c4b-ba08-18966ec8f9e3.stl, Cylinder
976d562b-6e65-404c-9a49-e08b13df780c.stl, Cube.001
eab3a405-c177-4324-82bb-39070a5149d8.stl, Cube.001
14e7d1ef-bd0c-406b-8d61-c3000cedbffb.stl, Cylinder
e935aba9-d217-4478-879c-7a06c8bb547f.stl, Torus.010
1f5a8d9c-751e-42c0-86dc-42c3e2c61b86.stl, Cube.001
18a841f4-4aa2-4107-b72f-9a9cf3f029c9.stl, Sphere
06ef6318-d786-493c-b833-e6609fd25270.stl, Cone
923227ae-7999-4d30-b447-c1f0bd5a835b.stl, Cylinder
6d94956d-7a53-4c65-9e20-db04ef9733df.stl, Cube.001
444fb035-8924-4da1-978b-d32dad4354db.stl, Cone
41988773-2852-4678-8b98-4133093f4303.stl, Cylinder
b0c2dbcb-406f-4c27-a34b-1b79801dbc9e.stl, Sphere
f4799c9b-9824-4b74-88c3-ceb27942c066.stl, Cube.001
eac7637f-efcd-4086-ba8b-c694f4622e94.stl, Torus.011
db24952e-b6b1-418a-802f-4df32701c0c4.stl, Cone
c98192e8-8cf7-4772-a719-56b43359f838.stl, Torus.012
d76ecdac-0e2c-47e9-879d-181bf17f5425.stl, Cube.001
e27421c9-6901-40c1-8c0e-bf578f6908c7.stl, Cylinder
5e3479a3-2970-49b8-9ff5-bd83e4cfd966.stl, Cone
f7b43228-20ca-4476-86fa-912433a35bc5.stl, Cone
fc090f5c-1d5b-41db-b635-3497f6e84d3c.stl, Cube.001
58a51f53-275a-4da3-96f1-d2a3e68c863f.stl, Cone
96784e0b-e80b-4185-b9d0-4fe63c31f3f4.stl, Cylinder
67b75468-5c47-45f7-a60c-cb4aa6575706.stl, Sphere
a3533b99-ffd2-46ea-b03b-cf413c86e489.stl, Torus.013
0d07a70e-c359-4ea9-869f-a1c7b281d6f8.stl, Torus.014
ce96a73c-0de3-4642-8bc7-e29ed66bfe2f.stl, Sphere
0c791bb7-33ef-42cb-a672-d30cbdbc1281.stl, Sphere
dea387e5-8a25-45ce-a50c-271e0a4f4aa5.stl, Cube.001
4c8cc634-45a8-4e40-93e6-9a91daa7794c.stl, Sphere
6c464554-8779-4790-97c0-dfcebbd47df9.stl, Cylinder
05fa86a8-c502-45bb-8704-0fdeb9446f5f.stl, Cube.001
96871b26-ffa6-4170-896d-6ee952146e5c.stl, Cylinder
753a6401-b806-4d28-b78a-2fddae208dd1.stl, Torus.015
05d8836d-968c-4f2e-bed0-9ca5337664c7.stl, Cone
e31e9496-4565-4608-91a7-296db0b8b8b0.stl, Cone
0bd75a04-b934-4882-b7ea-bcb5c6d3bcda.stl, Cube.001
a0aac10d-1537-4f08-bcde-d8156267ec60.stl, Cube.001
85eeea38-a9af-418b-86a1-742bad354e96.stl, Sphere
79b8bdd3-ee01-4899-a776-0d01377a4365.stl, Cone
5e23c39d-1349-4eb5-8d1f-5dfb349230aa.stl, Cube.001
300e552c-7bf1-49ea-aeef-cc3d5ab3b604.stl, Cube.001
db9afbfc-4ab5-4c9d-a055-256e656a373b.stl, Cylinder
b69b9885-db03-45e6-b13c-a617edd806e4.stl, Cube.001
41580169-184a-4b4b-aea0-43a4ca180ae9.stl, Cube.001
774353c0-4163-4de9-81ff-f29a089c9a45.stl, Cone
30e634a0-16a5-4f2d-83e0-c909d837f4c7.stl, Cube.001
b3552f14-52ef-4e36-96bb-a234ca7b3b95.stl, Cube.001
f5412d45-19c8-4c80-bb6a-a46e4624ee50.stl, Cube.001
ef35058c-ec9c-40f3-b1aa-35d56fe88f48.stl, Cylinder
fd5923d5-73e9-4aa6-9a61-789dbb062a08.stl, Cylinder
1a0155a7-987f-4493-bf20-20afc6f7e2f8.stl, Cylinder
617ceafb-5a46-4df1-98c8-f0efdeb1496f.stl, Sphere
0c37415b-7b2f-4aae-a328-18d590642792.stl, Sphere
fd90a8c4-3a32-4c67-a874-5ae0aab4db2b.stl, Cylinder
5b23675e-1cad-4779-90c0-e22c6f8aaf89.stl, Sphere
246615dc-5b82-4b40-aa05-9f177a0615a9.stl, Cone
