d153b8e2-97f2-4400-9a40-b6cf8c52b012.stl, Cylinder
169b5b83-b18a-4ae6-8029-4c8aa9dfb1b6.stl, Cube
52c497de-941a-4055-a84b-8b232acc67f5.stl, Sphere
380437de-fa1c-44e4-8a45-2db0ffbf4dc0.stl, Sphere
24adaa23-482c-472f-b0cc-2913a61f163b.stl, Cylinder
59c9a9f5-65ba-40e3-a11f-b8deb76753c0.stl, Sphere
acc3d952-5436-488a-9047-36aeb06bf492.stl, Cone
54be2d1e-a57d-4ac8-90ca-a68f58f25e17.stl, Cylinder
416ad889-56dc-45d0-bd49-1044552291a4.stl, Torus
2a868743-5b9d-4648-8ba8-54e7e0b4e75e.stl, Cylinder
53f5f38b-848e-46db-a606-c0cc2fe449e1.stl, Sphere
aa6fd83a-f0fb-4a70-9546-1aa1fcce54c6.stl, Cylinder
7dc2191a-972a-4642-935a-4db6e75950e5.stl, Cube
54a772ea-98ce-4077-8f5e-056b9794a0fa.stl, Cube
a2c85ad3-235a-40e4-bd88-4e51f7de4c64.stl, Cone
9f1a88fe-7dfc-47ab-b32a-b14836376a92.stl, Cone
12ac7f1b-7d77-460a-85a2-4f7ad7e29fd9.stl, Sphere
2774989b-782d-49c1-b3fc-15d583b85e99.stl, Cube
708decca-ea1b-4b83-a7a1-8df4af25a9b2.stl, Sphere
b57b90f9-290f-483d-87c7-0e6ccd667c47.stl, Cone
75f6f57f-38a9-435a-b129-9df9aa9f7594.stl, Cylinder
f3df34fb-416c-484f-9632-fda986c0163a.stl, Cone
5cf6e48f-f04f-4e6e-8a1f-9d1ac258893a.stl, Cone
3015e1db-01c7-47b8-9efa-7ede8d74ec53.stl, Cone
cc4a2e93-c1a9-47cf-9409-cf2f4ca27f72.stl, Cylinder
a8360836-f77b-4d67-beec-0949536c792c.stl, Cone
61f49638-4650-4759-8c05-66c78776aa94.stl, Cube
e796f910-8b3d-4670-8c73-4e82419e2684.stl, Torus.001
145f0ef7-6698-41ee-8d91-4dfa990af0d1.stl, Cube
c6e68b45-1adc-4354-bad7-7b9ee6e74f14.stl, Cylinder
8386f62e-25fc-4114-bd58-a130e4aa734e.stl, Sphere
9fb94a2d-d05e-49c2-8bee-9ae719203203.stl, Torus.002
9b21527f-e986-4474-a8c7-edc6f8eef550.stl, Sphere
c6b40fa6-6fb7-405d-8ffb-dceb26ff8c4c.stl, Sphere
0bc82541-fa67-4968-bd0d-99139da6f063.stl, Torus.003
f3aad449-e705-4a18-9082-c91f87b38e4b.stl, Sphere
d27a5a6f-84ba-429b-aa6f-88e78043ca9e.stl, Cone
3a05d1d2-7005-49ee-b77c-379fa3fe2787.stl, Cube
6f5e31e7-1c40-4d87-8edd-288d0ce5e2cf.stl, Cube
a46942fb-cfcf-4906-9c6d-78d386f2b27b.stl, Cylinder
727d4ab6-0b3e-429f-a971-ad5bc7972afb.stl, Cube
20428043-3ab5-489b-9a5d-f005102d0fb2.stl, Torus.004
97e4d89b-39e7-4ee2-8d47-6f06f42f80a0.stl, Cone
37f41d48-f17e-4511-819a-1a7b09885948.stl, Cone
08689788-86e2-4a25-bcd1-43fe0a3de7be.stl, Cube
adc64843-b88f-42e0-9fb3-130605b5ed76.stl, Torus.005
7c38b5db-02b0-4d89-91be-282a2641d0e9.stl, Cone
e8258f22-1c08-4443-bb27-a0c60e4bdaaa.stl, Sphere
5310cd17-438c-4368-a50a-10a4c108ecdd.stl, Cylinder
5ee5f5a5-26f2-466b-b279-ad674e6f67a1.stl, Sphere
c9ca7369-8830-4dc8-bfcb-d47acc9ca7e1.stl, Torus.006
838b800c-c9c6-4496-9fe5-274fff2a8c0f.stl, Cube
a882da54-b15a-45fb-ba66-83956b8bc7c8.stl, Sphere
bd2af3d5-6bce-42e8-bb05-5ae007e0ad7b.stl, Cylinder
2213477f-250d-40b9-afca-a5bda5d08983.stl, Cylinder
01e02615-84db-4801-970c-2ce53aa27054.stl, Cone
e1ea53bc-b03e-4211-8cc0-b9f8ec33ee57.stl, Cube
badbed9a-c677-4094-a3f6-73b60e2efa8c.stl, Sphere
e43f267c-7d2e-4d08-9422-a9ffc7347f22.stl, Sphere
fa84a9d4-1313-4ae2-bdf7-22cb6654ba77.stl, Torus.007
e7d9d1df-1781-45bc-a879-f27dadfd7ce5.stl, Sphere
0af1ecbc-d988-4fe6-bf83-47c1b734f177.stl, Cylinder
3869b8b6-af39-492a-b2dc-e0cc5ba44aeb.stl, Cone
1db6a65c-10d5-4fa0-9b23-847529eeaf80.stl, Cube
5c709e83-f14e-457f-b36f-26fc79ca21bc.stl, Cylinder
a3625a02-3f85-4d51-ac1f-2d595871d78f.stl, Cone
eeec4783-d861-4332-b16c-8c83002ef4e0.stl, Cylinder
6053c82b-b46c-4b49-b6b8-c3a142f376b4.stl, Cylinder
483f53ac-1edd-4019-998c-0a844e1a1b53.stl, Cube
722275d7-976a-4bfa-9d4c-ff55a5f2db32.stl, Cube
486ca379-475a-407c-9fa1-e9f5477c95f3.stl, Cylinder
6a37aab1-056e-4b5f-9bcc-e0ac867cb04d.stl, Cone
503f9eb8-dbff-482d-9442-7742d1718584.stl, Sphere
dd493b43-ac3d-42cd-b7ac-0f4b3e93a910.stl, Cube
68d129d1-4aee-4d85-ae70-06003162e535.stl, Cylinder
8838911b-c52f-4745-bd71-f7c88bfb2b20.stl, Cone
70efd9bd-d63d-4a03-8b3f-ab6e3d62a09b.stl, Sphere
d6fe7c7c-5aaa-4da5-8039-907ba569fbf5.stl, Cube
444e80b6-094a-4609-b3ce-f3dcdba05dd8.stl, Torus.008
b75f3245-0875-4d0e-86e6-dfe3b0facb59.stl, Cylinder
0815ac27-4e6d-4b9c-a99e-e28fa3b779c3.stl, Cylinder
f5429150-6408-416a-ac5c-9c7f292af19e.stl, Cone
